,image,actual_x (in px),actual_y (in px),local_outer_centre_x (in px),local_outer_centre_y (in px),local_inner_centre_x (in px),local_inner_centre_y (in px),global_outer_centre_x (in px),global_outer_centre_y (in px),global_inner_centre_x (in px),global_inner_centre_y (in px),outer_centre_x (in mm),outer_centre_y (in mm),inner_centre_x (in mm),inner_centre_y (in mm),offset (in px),offset_microns
0,S001_999_096_999,722,4222,127,145,140,142,709,4227,722,4224,-86.0,69.0,-86.0,69.0,13.341664064126334,282.3985560240074
1,S002_082_081_066,1007,3727,127,145,143,142,994,3732,1010,3729,-80.0,59.0,-80.0,59.0,16.278820596099706,344.5683692841104
2,S003_113_112_097,1007,4715,127,144,143,143,994,4719,1010,4718,-80.0,80.0,-80.0,80.0,16.0312195418814,339.3274803031563
3,S004_128_141_127,1292,5540,132,146,146,142,1284,5546,1298,5542,-74.0,97.0,-74.0,97.0,14.560219778561036,308.1913186462086
4,S005_053_052_040,1578,2738,131,145,146,142,1569,2743,1584,2740,-68.0,38.0,-68.0,38.0,15.297058540778355,323.78773911314187
5,S006_114_113_098,1579,4715,133,145,147,142,1572,4720,1586,4717,-68.0,80.0,-68.0,80.0,14.317821063276353,303.06054583934946
6,S007_999_067_999,1863,3233,136,143,148,143,1859,3236,1871,3236,-62.0,48.0,-62.0,48.0,12.0,254.0
7,S008_142_999_999,1887,5870,135,145,150,142,1882,5875,1897,5872,-61.0,104.0,-61.0,104.0,15.297058540778355,323.78773911314187
8,S009_157_156_999,1863,6199,137,147,150,142,1860,6206,1873,6201,-62.0,111.0,-61.0,111.0,13.92838827718412,294.81755186706386
9,S010_999_041_029,2149,2079,137,145,147,141,2146,2084,2156,2080,-56.0,24.0,-55.0,24.0,10.770329614269007,227.97197683536064
10,S011_054_999_999,2149,3068,137,141,149,141,2146,3069,2158,3069,-56.0,45.0,-55.0,45.0,12.0,254.0
11,S012_084_083_068,2149,3727,137,142,149,141,2146,3729,2158,3728,-56.0,59.0,-55.0,59.0,12.041594578792296,254.88041858443694
12,S013_999_143_129,2149,5705,137,144,150,142,2146,5709,2159,5707,-56.0,101.0,-55.0,101.0,13.152946437965905,278.404032936945
13,S014_170_180_169,2147,7024,140,144,151,144,2147,7028,2158,7028,-56.0,129.0,-55.0,129.0,11.0,232.83333333333334
14,S015_020_030_019,2434,1585,140,144,150,141,2434,1589,2444,1586,-50.0,13.0,-49.0,13.0,10.44030650891055,220.98648777194
15,S016_999_999_099,2434,4551,140,146,148,139,2434,4557,2442,4550,-50.0,76.0,-49.0,76.0,10.63014581273465,225.00475303621675
16,S017_010_009_001,2720,761,142,143,150,140,2722,764,2730,761,-43.0,-4.0,-43.0,-4.0,8.54400374531753,180.84807927588773
17,S018_031_999_999,2720,1749,141,145,150,141,2721,1754,2730,1750,-44.0,17.0,-43.0,17.0,9.848857801796104,208.46749013801752
18,S019_070_999_999,2743,3398,142,143,148,143,2745,3401,2751,3401,-43.0,52.0,-43.0,52.0,6.0,127.0
